GAME_ID,GAME_DATE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ABBREVIATION,HOME_PTS,AWAY_PTS,IS_FINAL,INGESTED_AT_UTC
22500934,2026-03-09,3,Final,1610612762,1610612744,UTA,GSW,119.0,116.0,True,2026-03-12 02:04:07.061440+00:00
22500935,2026-03-09,3,Final,1610612746,1610612752,LAC,NYK,126.0,118.0,True,2026-03-12 02:04:07.061440+00:00
22500936,2026-03-10,3,Final,1610612755,1610612763,PHI,MEM,139.0,129.0,True,2026-03-12 02:04:07.304836+00:00
22500937,2026-03-10,3,Final,1610612751,1610612765,BKN,DET,100.0,138.0,True,2026-03-12 02:04:07.304836+00:00
22500938,2026-03-10,3,Final,1610612748,1610612764,MIA,WAS,150.0,129.0,True,2026-03-12 02:04:07.304836+00:00
22500939,2026-03-10,3,Final,1610612737,1610612742,ATL,DAL,124.0,112.0,True,2026-03-12 02:04:07.304836+00:00
22500940,2026-03-10,3,Final,1610612745,1610612761,HOU,TOR,113.0,99.0,True,2026-03-12 02:04:07.304836+00:00
22500941,2026-03-10,3,Final,1610612749,1610612756,MIL,PHX,114.0,129.0,True,2026-03-12 02:04:07.304836+00:00
22500942,2026-03-10,3,Final,1610612759,1610612738,SAS,BOS,125.0,116.0,True,2026-03-12 02:04:07.304836+00:00
22500943,2026-03-10,3,Final,1610612744,1610612741,GSW,CHI,124.0,130.0,True,2026-03-12 02:04:07.304836+00:00
22500944,2026-03-10,3,Final,1610612757,1610612766,POR,CHA,101.0,103.0,True,2026-03-12 02:04:07.304836+00:00
22500945,2026-03-10,3,Final,1610612758,1610612754,SAC,IND,114.0,109.0,True,2026-03-12 02:04:07.304836+00:00
22500946,2026-03-10,3,Final,1610612747,1610612750,LAL,MIN,120.0,106.0,True,2026-03-12 02:04:07.304836+00:00
22500947,2026-03-11,2,4th Qtr             ,1610612753,1610612739,ORL,CLE,,,False,2026-03-12 02:04:07.464082+00:00
22500948,2026-03-11,2,3rd Qtr             ,1610612740,1610612761,NOP,TOR,,,False,2026-03-12 02:04:07.464082+00:00
22500949,2026-03-11,2,End of 1st Qtr      ,1610612762,1610612752,UTA,NYK,,,False,2026-03-12 02:04:07.464082+00:00
22500950,2026-03-11,1,10:00 pm ET,1610612743,1610612745,DEN,HOU,,,False,2026-03-12 02:04:07.464082+00:00
22500951,2026-03-11,1,10:00 pm ET,1610612758,1610612766,SAC,CHA,,,False,2026-03-12 02:04:07.464082+00:00
22500952,2026-03-11,1,10:30 pm ET,1610612746,1610612750,LAC,MIN,,,False,2026-03-12 02:04:07.464082+00:00
22500953,2026-03-12,1,7:00 pm ET,1610612765,1610612755,DET,PHI,,,False,2026-03-12 02:04:07.605253+00:00
22500954,2026-03-12,1,7:00 pm ET,1610612754,1610612756,IND,PHX,,,False,2026-03-12 02:04:07.605253+00:00
22500955,2026-03-12,1,7:00 pm ET,1610612753,1610612764,ORL,WAS,,,False,2026-03-12 02:04:07.605253+00:00
22500956,2026-03-12,1,7:30 pm ET,1610612737,1610612751,ATL,BKN,,,False,2026-03-12 02:04:07.605253+00:00
22500957,2026-03-12,1,7:30 pm ET,1610612748,1610612749,MIA,MIL,,,False,2026-03-12 02:04:07.605253+00:00
22500958,2026-03-12,1,9:00 pm ET,1610612759,1610612743,SAS,DEN,,,False,2026-03-12 02:04:07.605253+00:00
22500959,2026-03-12,1,9:30 pm ET,1610612760,1610612738,OKC,BOS,,,False,2026-03-12 02:04:07.605253+00:00
22500960,2026-03-12,1,10:30 pm ET,1610612747,1610612741,LAL,CHI,,,False,2026-03-12 02:04:07.605253+00:00
22501111,2026-03-12,1,8:00 pm ET,1610612763,1610612742,MEM,DAL,,,False,2026-03-12 02:04:07.605253+00:00
22500961,2026-03-13,1,7:30 pm ET,1610612765,1610612763,DET,MEM,,,False,2026-03-12 02:04:07.738124+00:00
22500962,2026-03-13,1,7:30 pm ET,1610612754,1610612752,IND,NYK,,,False,2026-03-12 02:04:07.738124+00:00
22500963,2026-03-13,1,7:30 pm ET,1610612761,1610612756,TOR,PHX,,,False,2026-03-12 02:04:07.738124+00:00
22500964,2026-03-13,1,8:00 pm ET,1610612745,1610612740,HOU,NOP,,,False,2026-03-12 02:04:07.738124+00:00
22500965,2026-03-13,1,7:30 pm ET,1610612742,1610612739,DAL,CLE,,,False,2026-03-12 02:04:07.738124+00:00
22500966,2026-03-13,1,10:00 pm ET,1610612744,1610612750,GSW,MIN,,,False,2026-03-12 02:04:07.738124+00:00
22500967,2026-03-13,1,10:00 pm ET,1610612757,1610612762,POR,UTA,,,False,2026-03-12 02:04:07.738124+00:00
22500968,2026-03-13,1,10:30 pm ET,1610612746,1610612741,LAC,CHI,,,False,2026-03-12 02:04:07.738124+00:00
22500969,2026-03-14,1,1:00 pm ET,1610612755,1610612751,PHI,BKN,,,False,2026-03-12 02:08:51.235193+00:00
22500970,2026-03-14,1,3:00 pm ET,1610612737,1610612749,ATL,MIL,,,False,2026-03-12 02:08:51.235193+00:00
22500971,2026-03-14,1,6:00 pm ET,1610612738,1610612764,BOS,WAS,,,False,2026-03-12 02:08:51.235193+00:00
22500972,2026-03-14,1,8:00 pm ET,1610612748,1610612753,MIA,ORL,,,False,2026-03-12 02:08:51.235193+00:00
22500973,2026-03-14,1,3:30 pm ET,1610612759,1610612766,SAS,CHA,,,False,2026-03-12 02:08:51.235193+00:00
22500974,2026-03-14,1,8:30 pm ET,1610612747,1610612743,LAL,DEN,,,False,2026-03-12 02:08:51.235193+00:00
22500975,2026-03-14,1,10:30 pm ET,1610612746,1610612758,LAC,SAC,,,False,2026-03-12 02:08:51.235193+00:00
22500976,2026-03-15,1,1:00 pm ET,1610612760,1610612750,OKC,MIN,,,False,2026-03-12 02:06:25.205290+00:00
22500977,2026-03-15,1,3:30 pm ET,1610612739,1610612742,CLE,DAL,,,False,2026-03-12 02:06:25.205290+00:00
22500978,2026-03-15,1,3:30 pm ET,1610612761,1610612765,TOR,DET,,,False,2026-03-12 02:06:25.205290+00:00
22500979,2026-03-15,1,3:30 pm ET,1610612749,1610612754,MIL,IND,,,False,2026-03-12 02:06:25.205290+00:00
22500980,2026-03-15,1,6:00 pm ET,1610612755,1610612757,PHI,POR,,,False,2026-03-12 02:06:25.205290+00:00
22500981,2026-03-15,1,8:00 pm ET,1610612752,1610612744,NYK,GSW,,,False,2026-03-12 02:06:25.205290+00:00
22500982,2026-03-15,1,10:00 pm ET,1610612758,1610612762,SAC,UTA,,,False,2026-03-12 02:06:25.205290+00:00
0022500983,2026-03-16,3,Final,1610612737,1610612753,ATL,ORL,124,112,True,2026-03-24T00:27:58.971108+00:00
0022500984,2026-03-16,3,Final,1610612764,1610612744,WAS,GSW,117,125,True,2026-03-24T00:27:58.971108+00:00
0022500985,2026-03-16,3,Final,1610612751,1610612757,BKN,POR,95,114,True,2026-03-24T00:27:58.971108+00:00
0022500986,2026-03-16,3,Final,1610612738,1610612756,BOS,PHX,120,112,True,2026-03-24T00:27:58.971108+00:00
0022500987,2026-03-16,3,Final,1610612741,1610612763,CHI,MEM,132,107,True,2026-03-24T00:27:58.971108+00:00
0022500988,2026-03-16,3,Final,1610612740,1610612742,NOP,DAL,129,111,True,2026-03-24T00:27:58.971108+00:00
0022500989,2026-03-16,3,Final,1610612745,1610612747,HOU,LAL,92,100,True,2026-03-24T00:27:58.971108+00:00
