scope,segment,games,accuracy,log_loss,roc_auc,brier_score,avg_confidence,correct,incorrect,date_min,date_max
league,predicted_home,122,0.7950819672131147,0.4838708882821906,0.6837113402061855,0.15760449943796573,0.7206252025850026,97,25,2026-03-11,2026-04-06
league,predicted_away,81,0.7407407407407407,0.5080072581364665,0.773015873015873,0.16920557712881146,0.674275438892341,60,21,2026-03-11,2026-04-06
league,high_confidence,129,0.8372093023255814,0.4108283399268891,0.8883544303797468,0.12756466176388237,0.7802575905348228,108,21,2026-03-11,2026-04-06
league,coin_flip,29,0.4827586206896552,0.6979097861867332,0.5,0.25237878034107075,0.5230399584132535,14,15,2026-03-11,2026-04-06
thunder,home,7,1.0,0.30484918429378144,,0.07908441697935684,0.7474211933988225,7,0,2026-03-12,2026-04-05
thunder,away,5,0.8,0.37047533397421095,1.0,0.11523487992640971,0.7333092617491881,4,1,2026-03-17,2026-03-25
thunder,favored,12,0.9166666666666666,0.33219341332729374,1.0,0.09414710987396219,0.7415412218781415,11,1,2026-03-12,2026-04-05
thunder,high_confidence,9,1.0,0.229983689729247,,0.0511789781926944,0.8021950822952196,9,0,2026-03-12,2026-04-05
thunder,coin_flip,1,0.0,0.7839671468522806,,0.29529328712473246,0.5434089501698812,0,1,2026-03-25,2026-03-25
