scope,segment,games,accuracy,log_loss,roc_auc,brier_score,avg_confidence,correct,incorrect,date_min,date_max,window
league,all,203,0.7733990147783252,0.4935016565491677,0.8426719840478564,0.16223350088111108,0.7021309618997535,157,46,2026-03-11,2026-04-06,all
league,recent_10,10,0.6,0.5607267867526449,0.76,0.1935915502243563,0.688956943154335,6,4,2026-04-05,2026-04-06,last_10
league,recent_25,25,0.68,0.5090628651078376,0.8344155844155845,0.16909641643074064,0.6769238984584809,17,8,2026-04-03,2026-04-06,last_25
league,recent_30,30,0.7333333333333333,0.4844115184208861,0.8642533936651583,0.15779350917077922,0.6822897353106074,22,8,2026-04-02,2026-04-06,last_30
league,recent_50,50,0.72,0.5226261836369573,0.8389423076923077,0.17238868157391005,0.6731010043621065,36,14,2026-03-31,2026-04-06,last_50
thunder,all,12,0.9166666666666666,0.33219341332729374,1.0,0.09414710987396219,0.7415412218781415,11,1,2026-03-12,2026-04-05,all
thunder,recent_5,5,1.0,0.30067885520057974,,0.07987465204867661,0.7528342207272847,5,0,2026-03-27,2026-04-05,last_5
thunder,recent_10,10,0.9,0.3355770945873954,1.0,0.09755476598754317,0.7430717412382364,9,1,2026-03-17,2026-04-05,last_10
thunder,recent_20,12,0.9166666666666666,0.33219341332729374,1.0,0.09414710987396219,0.7415412218781415,11,1,2026-03-12,2026-04-05,last_20
